input1,input2,y_true_1,y_true_2,model1_out1,model1_out2,model2_out1,model2_out2
8.0,1.0,-0.2237337555788595,-4.521176383829745,-2.9825320456006743,-0.06897893890826656,-1.992340238851463,-3.268908944371628
9.0,0.0,-0.8804022236734794,-0.0,-0.9791251024656527,0.12907576538781773,-2.9809242676911656,-1.874771700710383
9.0,0.1,-0.7829291203382014,-0.6410320844834227,-0.9725541541216391,0.06561497079175338,-2.9354093301755295,-1.9114142282740483
9.0,0.2,-0.698641764592503,-1.2704908715539047,-0.9900268806036823,8.71052507147585e-05,-2.9000885991321557,-1.9451896416025027
9.0,0.30000000000000004,-0.6240498114862015,-1.8768030637985067,-1.0311007934514498,-0.06718653250436135,-2.875425508629006,-1.9758678440929498
9.0,0.4,-0.556794919836741,-2.4483953638042864,-1.0948505573721685,-0.13587276862573283,-2.861743263491346,-2.0032369294927683
9.0,0.5,-0.4952262508163322,-2.9736944741583047,-1.1799024817247603,-0.2056293023608411,-2.859217903748198,-2.027105617734982
9.0,0.6000000000000001,-0.4381536648049409,-3.4411270974476222,-1.2844836894914913,-0.2761075468683289,-2.867874627043317,-2.0473054800624704
9.0,0.7000000000000001,-0.38469749338775944,-3.8391199362592947,-1.406483508231485,-0.3469555310944216,-2.887587473295944,-2.063692918183412
9.0,0.8,-0.33419349714952484,-4.156099693180385,-1.543524116257747,-0.41782082771104695,-2.918082371077129,-2.0761508638428485
9.0,0.9,-0.2861307226938808,-4.380493070797953,-1.6930371508543085,-0.4883534725285464,-2.958943443237891,-2.0845901717804782
9.0,1.0,-0.2401096973654944,-4.500726771699056,-1.852342854958358,-0.5582088435687375,-3.0096223703603995,-2.0889506819489045
10.0,0.0,-0.9438022209838449,-0.0,-0.8608653548864384,-1.2467389714789203,-1.8666297766968576,-1.0075447504415727
10.0,0.1,-0.839309832232062,-0.6377924027130413,-0.7893113332983845,-1.3285638820623586,-1.8521110753560142,-1.0254527552269947
10.0,0.2,-0.7489527302000833,-1.2640699977542322,-0.7391838015652286,-1.4103805815191723,-1.854801063945167,-1.042242946716827
10.0,0.30000000000000004,-0.6689892213444311,-1.867317977451723,-0.7112887200794997,-1.4917889500383081,-1.874641663624549,-1.0578008830395942
10.0,0.4,-0.5968911343519452,-2.436021534133662,-0.7060374409755186,-1.5723867892496424,-1.9113197277666107,-1.0720189718297122
10.0,0.5,-0.5308887493034128,-2.9586658601282005,-0.7234383155217459,-1.6517731309647181,-1.9642752385647833,-1.0847977084472515
10.0,0.6000000000000001,-0.46970622160591347,-3.423736147763488,-0.7630999447699218,-1.7295515591254538,-2.032715526594917,-1.0960468352789725
10.0,0.7000000000000001,-0.412400535690767,-3.8197175893676727,-0.8242457441317255,-1.8053335082316209,-2.115635008960791,-1.1056864032252767
10.0,0.8,-0.35825961857754113,-4.135095377268906,-0.9057390673835326,-1.8787414955356914,-2.211839758600972,-1.1136477178642845
10.0,0.9,-0.3067357218197496,-4.358354703795336,-1.0061177633859955,-1.9494122532941156,-2.319976066897038,-1.1198741545855524
10.0,1.0,-0.25740060572286677,-4.477980761275114,-1.12363673003289,-2.0169997233050365,-2.4385620459195496,-1.124321829452331
11.0,0.0,-1.010654050515741,-0.0,-1.117200932971782,-2.9429061739033124,-0.9361078880200377,-0.5138186425820492
11.0,0.1,-0.8987602092086412,-0.6342307472010701,-0.9469592944530891,-3.037260158135983,-0.9284269613815841,-0.5206819348506188
11.0,0.2,-0.8020028916995882,-1.2570109894376271,-0.7911077915096838,-3.1289168641447334,-0.9430379174729522,-0.5274151265787412
11.0,0.30000000000000004,-0.7163753711008635,-1.856890221745159,-0.652420120382581,-3.217428864602845,-0.9797154897943541,-0.5339722362859445
11.0,0.4,-0.6391703995153607,-2.422417939159152,-0.5334712920264297,-3.302359697758933,-1.0379007158187035,-0.5403077662146311
11.0,0.5,-0.5684929034151044,-2.9421436367150946,-0.43655921471563186,-3.383287452106228,-1.1167151076349553,-0.5463772277692258
11.0,0.6000000000000001,-0.5029766670008572,-3.404616809448473,-0.3636314279076709,-3.4598082574902915,-1.2149827199420082,-0.5521376617117453
11.0,0.7000000000000001,-0.4416118785949216,-3.7983869523947735,-0.3162202205440412,-3.5315396415577807,-1.331259336772518,-0.5575481443754413
11.0,0.8,-0.3836360273386283,-4.112003560589485,-0.295389143362784,-3.5981237144329725,-1.463867768976019,-0.5625702718689889
11.0,0.9,-0.32846256641761584,-4.334016129068094,-0.3016935207300113,-3.6592301429097738,-1.6109380532036495,-0.5671686139461346
11.0,1.0,-0.27563292286792934,-4.452974152866088,-0.3351570012755749,-3.7145588799925413,-1.7704512113435138,-0.5713111302596876
12.0,0.0,-1.0810497783395288,-0.0,-1.7675163040922404,-4.129508753319277,-1.75466661254245,-0.3533991863149468
